"Year","TFR","PCDIR","GINI","PCCER","WEL","CHU","UZR","ADR","NEI","ENGEL","GDPI","GDP","CDR","ODR","MI","IMR","UPR","PI","CASE"
2010,1.69,12520,0.481,9378,1.98816,22.02,0.5,5031.65,25707.3,33.4,110.6,412119.3,22.3,11.9,12335.9,13.1,4.1,100.9,1374136
2011,1.67,14551,0.477,10820,1.873284,23.01,0.52,5365.5,28391.3,33.6,109.6,487940.2,22.1,12.3,13892,12.1,4.1,102.5,1471843
2012,1.8,16510,0.474,12054,1.906709,23.44,0.53,5816.11,30426.8,33,107.9,538580,22.2,12.7,15428.7,10.3,4.1,102.9,1518535
2013,1.71,18311,0.473,13220,1.939216,23.61,0.55,6274.49,32218.4,31.2,107.8,592963.2,22.2,13.1,16392,9.5,4.1,102.1,1526279
2014,1.77,20167,0.469,14491,1.936036,23.64,0.56,6369.76,34124.4,31,107.4,643563.1,22.5,13.7,17038.7,8.9,4.1,101.6,1548493
2015,1.67,21966,0.462,15712,1.962206,20.89,0.57,6854.72,35361.2,30.6,107,688858.2,22.6,14.3,17771,8.1,4.1,102,1662102
2016,1.77,23821,0.465,17111,1.96584,18.95,0.59,7565,37929.7,30.1,106.8,746395.1,22.9,15,18451,7.5,4,101.4,1633376
2017,1.81,25974,0.467,18322,2.007661,17.37,0.6,8008.11,40293.3,29.3,106.9,832035.9,23.4,15.9,19300.2,6.77,3.9,102,1681658
2018,1.55,28228,0.468,19853,2.00583,15.98,0.62,8859.18,41901.6,28.4,106.7,919281.1,23.7,16.8,20434.1,6.1,3.8,102.6,1666172
2019,1.5,30733,0.465,21559,2.023739,14.05,0.63,9469.42,43487.9,28.2,106,986515.2,23.8,17.8,21417.3,5.6,3.6,102.6,1691808
2020,1.28,32189,0.468,21210,1.98816,12.68,0.64,10030.17,45621.1,30.2,102.2,1013567,26.2,19.7,23567.3,5.4,4.2,105.4,1514556
2021,1.16,35128,0.466,24100,2.130078,12,0.65,10322.67,48074,29.8,108.4,1149237,25.6,20.8,23751.7,5,4,103.3,1769487
